YEAR	RPK1	RPK2	X1	X2	DX1	DX2
1975	13.54875093	11.09277906	2.606294361	2.406294361		
1976	13.41393861	11.09277906	2.596294361	2.406294361	-0.01	0.00
1977	13.41393861	11.20426334	2.596294361	2.416294361	0.00	0.01
1978	13.68491815	11.20426334	2.616294361	2.416294361	0.02	0.00
1979	14.24341025	11.20426334	2.656294361	2.416294361	0.04	0.00
1980	14.53114622	11.661518	2.676294361	2.456294361	0.02	0.04
1981	14.82469485	11.7787182	2.696294361	2.466294361	0.02	0.01
1982	14.97368551	11.89709629	2.706294361	2.476294361	0.01	0.01
1983	14.97368551	12.13743358	2.706294361	2.496294361	0.00	0.02
1984	14.97368551	12.25941681	2.706294361	2.506294361	0.00	0.01
1985	14.97368551	12.382626	2.706294361	2.516294361	0.00	0.01
1986	15.27617402	12.382626	2.726294361	2.516294361	0.02	0.00
1987	15.58477321	12.50707346	2.746294361	2.526294361	0.02	0.01
1988	15.89960651	12.7597331	2.766294361	2.546294361	0.02	0.02
1989	16.22079987	12.88797055	2.786294361	2.556294361	0.02	0.01
1990	16.38382162	13.01749681	2.796294361	2.566294361	0.01	0.01
1991	16.38382162	13.41393861	2.796294361	2.596294361	0.00	0.03
1992	16.54848176	13.68491815	2.806294361	2.616294361	0.01	0.02
1993	16.71479677	13.54875093	2.816294361	2.606294361	0.01	-0.01
1994	17.05245806	13.68491815	2.836294361	2.616294361	0.02	0.01
1995	17.39694056	13.96137183	2.856294361	2.636294361	0.02	0.02
1996	17.74838208	14.24341025	2.876294361	2.656294361	0.02	0.02
1997	18.47270729	14.53114622	2.916294361	2.676294361	0.04	0.02
1998	19.03528498	14.67718667	2.946294361	2.686294361	0.03	0.01
1999	19.22659278	15.12417355	2.956294361	2.716294361	0.01	0.03
2000	19.03528498	15.42970212	2.946294361	2.736294361	-0.01	0.02
2001	18.84588073	15.42970212	2.936294361	2.736294361	-0.01	0.00
2002	18.65836108	15.42970212	2.926294361	2.736294361	-0.01	0.00
2003	18.47270729	15.58477321	2.916294361	2.746294361	-0.01	0.01
2004	18.84588073	15.27617402	2.936294361	2.726294361	0.02	-0.02
2005	19.03528498	15.42970212	2.946294361	2.736294361	0.01	0.01
2006	19.61499571	15.74140278	2.976294361	2.756294361	0.03	0.02
2007	20.21236127	15.89960651	3.006294361	2.766294361	0.03	0.01
2008	20.62067805	16.38382162	3.026294361	2.796294361	0.02	0.03
2009	21.03724338	16.71479677	3.046294361	2.816294361	0.02	0.02
2010	21.46222388	17.22383811	3.066294361	2.846294361	0.02	0.03
2011	22.11584591	17.57178272	3.096294361	2.866294361	0.03	0.02
2012	23.0184107	17.92675628	3.136294361	2.886294361	0.04	0.02
2013	23.71942567	18.28890078	3.166294361	2.906294361	0.03	0.02
2014	24.6874338	18.65836108	3.206294361	2.926294361	0.04	0.02
2015	25.18615304	19.41982324	3.226294361	2.966294361	0.02	0.04
